StarTime,EndTime,Number of functions,Drop Rate,Average Latency,Throughput
1492741583808,1492741592258,1,0.0,280.5,589.349112426
1492741653815,1492741677754,2,0.0,783.611111111,624.08621914
1492741728134,1492741766589,3,0.113333333333,1241.2481203,571.707190222
1492741803275,1492741847073,4,1.0,0,0.0
1492741878205,1492741921985,5,1.0,0,0.0
1492741953194,1492741996967,6,1.0,0,0.0
1492742028229,1492742072049,7,1.0,0,0.0
1492742103266,1492742147231,8,1.0,0,0.0
1492742178869,1492742222735,9,1.0,0,0.0
1492742253757,1492742297740,10,1.0,0,0.0
1492742328474,1492742372385,11,1.0,0,0.0
1492742403460,1492742447385,12,1.0,0,0.0
1492742478570,1492742522625,13,1.0,0,0.0
1492742553868,1492742554516,14,1.0,0,0.0
1492742628602,1492742629244,15,1.0,0,0.0
1492742703654,1492742704341,16,1.0,0,0.0
1492742778693,1492742822767,17,1.0,0,0.0
1492742855136,1492742901297,18,1.0,0,0.0
1492742928713,1492742976581,19,1.0,0,0.0
1492743003642,1492743054321,20,1.0,0,0.0
1492743078845,1492743127549,21,1.0,0,0.0
1492743153722,1492743203533,22,1.0,0,0.0
1492743228863,1492743276649,23,1.0,0,0.0
1492743304207,1492743351973,24,1.0,0,0.0
1492743379264,1492743398688,25,1.0,0,0.0
1492743454339,1492743503115,26,1.0,0,0.0
1492743529751,1492743576040,27,1.0,0,0.0
1492743604438,1492743665057,28,1.0,0,0.0
1492743679452,1492743733108,29,1.0,0,0.0
1492743754341,1492743800095,30,1.0,0,0.0
1492743829624,1492743877324,31,1.0,0,0.0
1492743904548,1492743955205,32,1.0,0,0.0
1492743979633,1492744025420,33,1.0,0,0.0
1492744055277,1492744108097,34,1.0,0,0.0
1492744129617,1492744181309,35,1.0,0,0.0
1492744204106,1492744253929,36,1.0,0,0.0
1492744279088,1492744328813,37,1.0,0,0.0
1492744354099,1492744404801,38,1.0,0,0.0
1492744429231,1492744479938,39,1.0,0,0.0
1492744504334,1492744554969,40,1.0,0,0.0
1492744579238,1492744626899,41,1.0,0,0.0
1492744654371,1492744703068,42,1.0,0,0.0
1492744729228,1492744780912,43,1.0,0,0.0
1492744804277,1492744853053,44,1.0,0,0.0
1492744879333,1492744927080,45,1.0,0,0.0
1492744954488,1492745003149,46,1.0,0,0.0
1492745029382,1492745079040,47,1.0,0,0.0
1492745104431,1492745152096,48,1.0,0,0.0
1492745179576,1492745227287,49,1.0,0,0.0
1492745254562,1492745303341,50,1.0,0,0.0
1492745329440,1492745378164,51,1.0,0,0.0
1492745404625,1492745455324,52,1.0,0,0.0
1492745479816,1492745526659,53,1.0,0,0.0
1492745555520,1492745607276,54,1.0,0,0.0
1492745630571,1492745680300,55,1.0,0,0.0
1492745704491,1492745751228,56,1.0,0,0.0
1492745780149,1492745830900,57,1.0,0,0.0
1492745856125,1492745905860,58,1.0,0,0.0
1492745931371,1492745983149,59,1.0,0,0.0
1492746004826,1492746053548,60,1.0,0,0.0
1492746079735,1492746128480,61,1.0,0,0.0
1492746154751,1492746202508,62,1.0,0,0.0
1492746229746,1492746278420,63,1.0,0,0.0
1492746304802,1492746356477,64,1.0,0,0.0
1492746379777,1492746428506,65,1.0,0,0.0
1492746454852,1492746503676,66,1.0,0,0.0
1492746530199,1492746578954,67,1.0,0,0.0
1492746604759,1492746649566,68,1.0,0,0.0
1492746679643,1492746726468,69,1.0,0,0.0
1492746754792,1492746804585,70,1.0,0,0.0
1492746829861,1492746875589,71,1.0,0,0.0
1492746904770,1492746952581,72,1.0,0,0.0
1492746979851,1492747025579,73,1.0,0,0.0
1492747055695,1492747101484,74,1.0,0,0.0
1492747130325,1492747176136,75,1.0,0,0.0
