StarTime,EndTime,Number of functions,Drop Rate,Average Latency,Throughput
1492741422134,1492741423518,1,0.0,44.9,8193.6416185
1492741497270,1492741499735,2,0.0,80.6333333333,13801.2170385
1492741572334,1492741577011,3,0.0,153.586666667,12123.1558691
1492741647423,1492741651785,4,0.0333333333333,66.7093596059,17591.4718019
1492741722480,1492741727827,5,0.0518518518519,74.80859375,18097.6248364
1492741797517,1492741804628,6,0.0727272727273,85.545751634,16266.0666573
1492741872575,1492741882064,7,0.074358974359,189.637119114,14380.6512804
1492741947766,1492741960280,8,0.0733333333333,262.580335731,12595.9725108
1492742022794,1492742036439,9,0.105882352941,286.190789474,12632.319531
1492742097737,1492742109337,10,0.122807017544,183.872,16293.1034483
1492742172918,1492742186956,11,0.122222222222,270.273056058,14890.5827041
1492742247799,1492742265978,12,0.142028985507,402.856418919,12309.5879861
1492742322967,1492742338403,13,0.157333333333,258.050632911,15476.5483286
1492742398094,1492742416192,14,0.186419753086,319.529590288,13764.0623273
1492742473149,1492742493027,15,0.186206896552,409.663841808,13463.3262904
1492742548099,1492742567911,16,0.206451612903,355.940379404,14080.557238
1492742623468,1492742645935,17,0.245454545455,413.488621151,12568.0331152
1492742698298,1492742725221,18,0.294285714286,413.937921727,10403.6697248
1492742773462,1492742803324,19,0.344144144144,466.907967033,9215.18987342
1492742848388,1492742885471,20,0.462393162393,473.626391097,6411.61718308
1492742923551,1492742963796,21,0.534959349593,587.797202797,5372.49347745
1492742998473,1492743038154,22,0.565891472868,496.267857143,5334.54298027
1492743073548,1492743112634,23,0.593333333333,675.335154827,5309.36908356
1492743148591,1492743191262,24,0.635460992908,607.291828794,4553.25630991
1492743223571,1492743268658,25,0.71156462585,535.20990566,3554.72752678
1492743298637,1492743344234,26,0.751633986928,577.297368421,3150.20725048
1492743373691,1492743415894,27,0.701886792453,641.943037975,4245.48017913
1492743448680,1492743491993,28,0.746666666667,542.217703349,3647.95788793
1492743523717,1492743568621,29,0.808771929825,454.04587156,2752.67236772
1492743598680,1492743643102,30,0.889265536723,631.596938776,1667.82225024
1492743673779,1492743717063,31,0.809289617486,520.727793696,3047.82367619
1492743748921,1492743793928,32,0.896296296296,626.556122449,1646.14393317
1492743824002,1492743869476,33,0.930256410256,745.25,1130.49214936
1492743898818,1492743944869,34,0.889552238806,662.022522523,1822.24055938
1492743973977,1492744021093,35,0.968115942029,485.818181818,529.501655489
1492744048933,1492744093845,36,0.848356807512,550.743034056,2718.51620948
1492744123912,1492744170202,37,0.927853881279,708.392405063,1290.21386909
1492744199031,1492744246145,38,0.915111111111,661.387434555,1532.4107484
1492744273956,1492744319588,39,0.913852813853,923.256281407,1648.44845722
1492744348972,1492744396351,40,0.969620253165,1062.63888889,574.431710251
1492744424085,1492744471222,41,0.911934156379,875.771028037,1716.10412203
1492744498961,1492744547801,42,0.955421686747,664.405405405,859.090909091
1492744574232,1492744622368,43,0.980784313725,770.612244898,384.784776467
1492744649117,1492744696425,44,0.945210727969,705.748251748,1142.59744652
1492744724197,1492744772645,45,0.94531835206,904.842465753,1139.11822985
1492744799217,1492744846424,46,0.931868131868,789.61827957,1489.35539221
1492744874207,1492744924699,47,0.970967741935,986.061728395,606.393091975
1492744949294,1492744998505,48,0.964561403509,984.158415842,775.802158054
1492745024287,1492745075009,49,0.976632302405,1100.48529412,506.762351642
1492745099338,1492745143381,50,0.899663299663,174.342281879,2557.59144472
1492745174269,1492745225200,51,0.992079207921,1396.125,178.123343347
1492745249433,1492745299465,52,0.950485436893,774.830065359,1155.94019827
1492745324430,1492745375316,53,0.991746031746,1357.65384615,193.137601698
1492745399438,1492745450438,54,0.990965732087,838.689655172,214.941176471
1492745474421,1492745525445,55,0.989602446483,867.029411765,251.881467545
1492745549567,1492745601289,56,0.99039039039,967.1875,233.865666448
1492745624562,1492745674971,57,0.97994100295,690.514705882,509.908944831
1492745699281,1492745748283,58,0.989855072464,870.771428571,269.988980042
1492745774314,1492745827012,59,0.984615384615,498.055555556,387.339177957
1492745849747,1492745901852,60,0.998599439776,529.0,36.2729104692
1492745924461,1492745975113,61,0.986225895317,318.6,373.134328358
1492745999360,1492746050151,62,0.992140921409,258.517241379,215.825638401
1492746074794,1492746077315,63,1.0,0,0.0
1492746149519,1492746201020,64,0.995275590551,254.333333333,132.113939535
1492746224571,1492746268640,65,0.894056847545,493.446341463,3516.75781161
1492746299569,1492746349578,66,0.991603053435,231.424242424,249.435101682
1492746374544,1492746421359,67,0.90977443609,478.316666667,2906.76065364
1492746449637,1492746499897,68,0.999012345679,294.25,30.0835654596
1492746524909,1492746572546,69,0.924330900243,455.347266881,2467.78764406
1492746599785,1492746649988,70,0.999520383693,361.5,15.0588610242
1492746674822,1492746722711,71,0.96926713948,622.969230769,1026.12290923
1492746749940,1492746798137,72,0.999533799534,783.5,15.6856235865
1492746824762,1492746871765,73,0.95724137931,696.967741935,1495.81941578
1492746899966,1492746949850,74,0.999092970522,993.5,30.3103199423
1492746974816,1492747022786,75,0.976286353468,585.820754717,835.272045028
