timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1492741947768,1600,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 4-1,text,false,,2690,0,1,15,0,0,96
1492741947769,1602,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 13-1,text,false,,2690,0,1,15,0,0,96
1492741947768,1604,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 10-1,text,false,,2690,0,1,15,0,0,97
1492741947769,1603,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 3-1,text,false,,2690,0,1,15,0,0,96
1492741947768,1605,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 14-1,text,false,,2690,0,1,15,0,0,98
1492741947768,1607,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 9-1,text,false,,2690,0,1,15,0,0,92
1492741947768,1608,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 7-1,text,false,,2690,0,1,15,0,0,101
1492741947768,1609,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 5-1,text,false,,2690,0,1,15,0,0,101
1492741947768,1609,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 8-1,text,false,,2690,0,1,15,0,0,92
1492741947768,1611,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 12-1,text,false,,2690,0,1,15,0,0,102
1492741947768,1599,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 15-1,text,false,,2690,0,1,15,0,0,96
1492741947766,1612,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 2-1,text,false,,2690,0,1,15,0,0,93
1492741947768,1606,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1,text,false,,2690,0,1,15,0,0,99
1492741947768,1602,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 6-1,text,false,,2690,0,1,15,0,0,97
1492741947769,1597,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 11-1,text,false,,2690,0,1,15,0,0,94
1492741949386,162,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,161,0,4
1492741949549,724,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,724,0,7
1492741949379,1066,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,1066,0,8
1492741949385,1148,HTTP Request,200,OK,Thread Group 2-1,text,true,,378,207,1,15,1147,0,3
1492741949380,1172,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,1172,0,8
1492741949372,1517,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 13-1,text,false,,2690,0,1,15,0,0,15
1492741949376,1514,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 9-1,text,false,,2690,0,1,15,0,0,11
1492741949374,1517,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 3-1,text,false,,2690,0,1,15,0,0,14
1492741949378,1514,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 5-1,text,false,,2690,0,1,15,0,0,10
1492741949375,1518,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 14-1,text,false,,2690,0,1,15,0,0,13
1492741949373,1521,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 10-1,text,false,,2690,0,1,15,0,0,16
1492741949371,1521,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 4-1,text,false,,2690,0,1,15,0,0,19
1492741949384,1510,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 15-1,text,false,,2690,0,1,15,0,0,6
1492741949386,1508,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 6-1,text,false,,2690,0,1,15,0,0,3
1492741949385,1509,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1,text,false,,2690,0,1,15,0,0,4
1492741949377,1517,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 7-1,text,false,,2690,0,1,15,0,0,12
1492741950908,343,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,343,0,1
1492741950276,992,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,991,0,1
1492741951251,23,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,23,0,1
1492741951275,24,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,24,0,1
1492741950445,939,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,939,0,1
1492741950552,867,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,867,0,1
1492741950907,550,HTTP Request,200,OK,Thread Group 6-1,text,true,,378,207,1,15,549,0,2
1492741951299,196,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,192,0,1
1492741950533,1015,HTTP Request,200,OK,Thread Group 2-1,text,true,,378,207,1,15,1015,0,1
1492741951268,482,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,482,0,1
1492741951384,464,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,464,0,1
1492741951419,453,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,453,0,1
1492741951457,425,HTTP Request,200,OK,Thread Group 6-1,text,true,,378,207,1,15,425,0,0
1492741951496,400,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,400,0,0
1492741951549,379,HTTP Request,200,OK,Thread Group 2-1,text,true,,378,207,1,15,379,0,0
1492741951750,207,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,207,0,1
1492741951848,155,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,154,0,4
1492741951873,159,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,159,0,1
1492741950890,1158,HTTP Request,200,OK,Thread Group 9-1,text,true,,378,207,1,15,1158,0,14
1492741950890,1174,HTTP Request,200,OK,Thread Group 13-1,text,true,,378,208,1,15,1174,0,14
1492741951882,216,HTTP Request,200,OK,Thread Group 6-1,text,true,,378,207,1,15,216,0,1
1492741951896,217,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,217,0,1
1492741951929,215,HTTP Request,200,OK,Thread Group 2-1,text,true,,378,207,1,15,215,0,2
1492741951957,248,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,248,0,1
1492741952003,249,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,249,0,0
1492741952033,247,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,247,0,0
1492741952049,246,HTTP Request,200,OK,Thread Group 9-1,text,true,,378,207,1,15,246,0,0
1492741952065,247,HTTP Request,200,OK,Thread Group 13-1,text,true,,378,208,1,15,247,0,0
1492741952099,241,HTTP Request,200,OK,Thread Group 6-1,text,true,,378,207,1,15,241,0,5
1492741952113,243,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,243,0,0
1492741952145,243,HTTP Request,200,OK,Thread Group 2-1,text,true,,378,207,1,15,243,0,1
1492741950891,1515,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 3-1,text,false,,2690,0,1,15,0,0,13
1492741950893,1514,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 14-1,text,false,,2690,0,1,15,0,0,12
1492741950892,1516,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 5-1,text,false,,2690,0,1,15,0,0,13
1492741950906,1504,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 4-1,text,false,,2690,0,1,15,0,0,3
1492741950908,1503,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 1-1,text,false,,2690,0,1,15,0,0,1
1492741950907,1505,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 15-1,text,false,,2690,0,1,15,0,0,2
1492741950905,1507,HTTP Request,Non HTTP response code: java.net.SocketTimeoutException,Non HTTP response message: Read timed out,Thread Group 10-1,text,false,,2690,0,1,15,0,0,5
1492741952205,255,HTTP Request,200,OK,Thread Group 11-1,text,true,,378,208,1,15,255,0,2
1492741952253,259,HTTP Request,200,OK,Thread Group 8-1,text,true,,378,207,1,15,259,0,0
1492741952281,263,HTTP Request,200,OK,Thread Group 12-1,text,true,,378,208,1,15,263,0,0
1492741952295,263,HTTP Request,200,OK,Thread Group 9-1,text,true,,378,207,1,15,263,0,1
1492741952313,262,HTTP Request,200,OK,Thread Group 13-1,text,true,,378,208,1,15,262,0,1
1492741952341,263,HTTP Request,200,OK,Thread Group 6-1,text,true,,378,207,1,15,263,0,0
1492741952357,259,HTTP Request,200,OK,Thread Group 7-1,text,true,,378,207,1,15,259,0,0
