"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -ta -p -y -m --socket --vm --noheaders --output systemstats.csv",,,,"Date:","19 Apr 2017 19:52:39 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,,"virtual memory",,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","int","csw","used","buff","cach","free","tot","tcp","udp","raw","frg","majpf","minpf","alloc","free"
19-04 19:52:39,0.126,0.045,99.776,0.052,0.0,0.001,1245.874,14523.590,0.0,0.0,0.0,0.0,32.628,103.060,0.0,0.0,0.227,32.628,103.060,897540096.0,188817408.0,1848569856.0,944242688.0,1806.0,8.0,5.0,0.0,0.0,0.004,34.007,32.884,33.702
19-04 19:52:40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,564.0,2590.0,0.0,0.0,49.0,118.0,0.0,0.0,0.0,48.0,114.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,9.0
19-04 19:52:41,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,180.0,0.0,0.0,35.0,112.0,0.0,0.0,0.0,35.0,112.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0
19-04 19:52:42,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,33.0,116.0,0.0,0.0,0.0,33.0,116.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:43,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,32.0,95.0,0.0,0.0,0.0,32.0,95.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:44,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,37.0,107.0,0.0,0.0,0.0,37.0,107.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:45,0.0,0.0,99.0,1.0,0.0,0.0,0.0,28672.0,132.0,788.0,0.0,0.0,38.0,108.0,0.0,0.0,0.0,38.0,108.0,897499136.0,188821504.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0
19-04 19:52:46,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,103.0,0.0,0.0,0.0,32.0,103.0,897499136.0,188821504.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0
19-04 19:52:47,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,30.0,88.0,0.0,0.0,0.0,30.0,88.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0
19-04 19:52:48,0.0,0.0,100.0,0.0,0.0,0.0,0.0,16384.0,132.0,796.0,0.0,0.0,36.0,94.0,0.0,0.0,0.0,36.0,94.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:49,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,87.0,0.0,0.0,0.0,32.0,87.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:50,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,132.0,796.0,0.0,0.0,43.0,116.0,0.0,0.0,0.0,43.0,116.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:51,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,144.0,2176.0,0.0,0.0,39.0,103.0,0.0,0.0,0.0,39.0,103.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:52,2.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,132.0,204.0,0.0,0.0,91.0,199.0,0.0,0.0,0.0,91.0,199.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:53,0.0,0.0,100.0,0.0,0.0,0.0,0.0,94208.0,132.0,788.0,0.0,0.0,44.0,65.0,0.0,0.0,0.0,44.0,65.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:54,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,25.0,68.0,0.0,0.0,0.0,25.0,68.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:55,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,132.0,796.0,0.0,0.0,29.0,79.0,0.0,0.0,0.0,29.0,79.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:56,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,31.0,86.0,0.0,0.0,0.0,31.0,86.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:57,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,25.0,75.0,0.0,0.0,0.0,25.0,75.0,897462272.0,188821504.0,1848578048.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0
19-04 19:52:58,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,86.0,0.0,0.0,0.0,32.0,86.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0
19-04 19:52:59,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,86.0,0.0,0.0,0.0,32.0,86.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:00,0.0,0.0,99.0,1.0,0.0,0.0,0.0,12288.0,132.0,788.0,0.0,0.0,35.0,96.0,0.0,0.0,0.0,35.0,96.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,31.0,88.0,0.0,0.0,0.0,31.0,88.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:02,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,26.0,76.0,0.0,0.0,0.0,26.0,76.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:03,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,686.0,0.0,0.0,24.0,70.0,0.0,0.0,0.0,24.0,70.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,2.0,3.0,1.0
19-04 19:53:04,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,890.0,0.0,0.0,28.0,73.0,0.0,0.0,0.0,28.0,73.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:05,0.0,0.0,100.0,0.0,0.0,0.0,0.0,12288.0,174.0,1482.0,0.0,0.0,34.0,82.0,0.0,0.0,0.0,34.0,82.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:53:06,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,144.0,0.0,0.0,29.0,88.0,0.0,0.0,0.0,29.0,88.0,897429504.0,188821504.0,1848578048.0,944340992.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0


"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -ta -p -y -m --socket --noheaders --output systemstats.csv",,,,"Date:","20 Apr 2017 19:55:11 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","int","csw","used","buff","cach","free","tot","tcp","udp","raw","frg"
20-04 19:55:11,0.116,0.040,99.800,0.043,0.0,0.001,954.514,11750.490,0.0,0.0,0.0,0.0,32.227,101.790,0.0,0.0,0.188,32.227,101.790,906686464.0,190164992.0,1850195968.0,932122624.0,1436.0,8.0,5.0,0.0,0.0
20-04 19:55:12,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,462.0,1660.0,0.0,0.0,38.0,99.0,0.0,0.0,0.0,39.0,99.0,906686464.0,190164992.0,1850195968.0,932122624.0,1436.0,8.0,5.0,0.0,0.0
20-04 19:55:13,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,700.0,0.0,0.0,28.0,58.0,0.0,0.0,0.0,28.0,58.0,906686464.0,190164992.0,1850195968.0,932122624.0,1436.0,8.0,5.0,0.0,0.0
20-04 19:55:14,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,716.0,0.0,0.0,32.0,78.0,0.0,0.0,0.0,31.0,78.0,906686464.0,190164992.0,1850195968.0,932122624.0,1436.0,8.0,5.0,0.0,0.0


"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -T -ta -p -y -m --socket --noheaders --output systemstats.csv",,,,"Date:","20 Apr 2017 19:55:56 UTC"

"epoch","system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,
"epoch","time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","int","csw","used","buff","cach","free","tot","tcp","udp","raw","frg"
1492718156.244,20-04 19:55:56,0.116,0.040,99.800,0.043,0.0,0.001,958.388,11750.564,0.0,0.0,0.0,0.0,32.232,101.800,0.0,0.0,0.188,32.232,101.800,906280960.0,190169088.0,1851666432.0,931053568.0,1436.0,8.0,5.0,0.0,0.0
1492718157.245,20-04 19:55:57,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,462.0,1732.0,0.0,0.0,36.0,92.0,0.0,0.0,0.0,36.0,92.0,906248192.0,190169088.0,1851666432.0,931086336.0,1436.0,8.0,5.0,0.0,0.0
