"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","openlambda-2",,,,"User:","heron"
"Cmdline:","dstat -ta -p -y -m --socket --vm --noheaders --output systemstats.csv",,,,"Date:","19 Apr 2017 19:52:39 UTC"

"system","total cpu usage",,,,,,"dsk/total",,"net/total",,"paging",,"system",,"procs",,,"system",,"memory usage",,,,"sockets",,,,,"virtual memory",,,
"time","usr","sys","idl","wai","hiq","siq","read","writ","recv","send","in","out","int","csw","run","blk","new","int","csw","used","buff","cach","free","tot","tcp","udp","raw","frg","majpf","minpf","alloc","free"
19-04 19:52:39,0.126,0.045,99.776,0.052,0.0,0.001,1245.874,14523.590,0.0,0.0,0.0,0.0,32.628,103.060,0.0,0.0,0.227,32.628,103.060,897540096.0,188817408.0,1848569856.0,944242688.0,1806.0,8.0,5.0,0.0,0.0,0.004,34.007,32.884,33.702
19-04 19:52:40,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,564.0,2590.0,0.0,0.0,49.0,118.0,0.0,0.0,0.0,48.0,114.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,9.0
19-04 19:52:41,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,180.0,0.0,0.0,35.0,112.0,0.0,0.0,0.0,35.0,112.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0
19-04 19:52:42,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,33.0,116.0,0.0,0.0,0.0,33.0,116.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:43,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,32.0,95.0,0.0,0.0,0.0,32.0,95.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:44,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,37.0,107.0,0.0,0.0,0.0,37.0,107.0,897503232.0,188817408.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0
19-04 19:52:45,0.0,0.0,99.0,1.0,0.0,0.0,0.0,28672.0,132.0,788.0,0.0,0.0,38.0,108.0,0.0,0.0,0.0,38.0,108.0,897499136.0,188821504.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0
19-04 19:52:46,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,788.0,0.0,0.0,32.0,103.0,0.0,0.0,0.0,32.0,103.0,897499136.0,188821504.0,1848573952.0,944275456.0,1806.0,8.0,5.0,0.0,0.0,0.0,1.0,2.0,1.0
19-04 19:52:47,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,132.0,796.0,0.0,0.0,30.0,88.0,0.0,0.0,0.0,30.0,88.0,897466368.0,188821504.0,1848573952.0,944308224.0,1806.0,8.0,5.0,0.0,0.0,0.0,0.0,1.0,9.0
